timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T17:07:33.847782,256,move_left,378.0,332.5,dx=-49.5px
2026-06-12T17:07:35.412907,264,move_left,287.5,330.5,dx=-41.0px
2026-06-12T17:07:36.962857,272,move_left,187.5,320.5,dx=-50.5px
2026-06-12T17:07:38.793024,288,move_right,274.0,329.5,dx=116.5px
2026-06-12T17:07:48.905853,560,move_right,331.0,333.0,dx=57.0px
2026-06-12T17:07:50.866539,580,move_right,375.5,333.0,dx=44.5px
2026-06-12T17:07:52.232952,588,move_left,315.0,334.5,dx=-60.5px
2026-06-12T17:07:55.476730,668,move_left,162.0,322.5,dx=-97.0px
2026-06-12T17:08:14.346454,1092,move_right,383.0,270.5,dx=229.5px
2026-06-12T17:08:14.346596,1092,move_up,383.0,270.5,dy=-53.5px
2026-06-12T17:08:14.961873,1096,move_left,291.5,282.5,dx=-91.5px
2026-06-12T17:08:16.510590,1104,move_left,221.0,289.5,dx=-32.0px
2026-06-12T17:08:17.278049,1108,blink,172.5,292.0,
2026-06-12T17:08:26.509766,1404,move_up,179.5,252.5,dy=-39.5px
2026-06-12T17:08:27.287946,1408,move_right,212.0,269.5,dx=32.5px
2026-06-12T17:08:30.389136,1424,blink,172.0,251.0,
2026-06-12T17:08:30.389247,1424,move_left,172.0,251.0,dx=-39.5px
2026-06-12T17:08:30.389274,1424,move_up,172.0,251.0,dy=-20.5px
2026-06-12T17:08:34.347147,1540,move_right,380.0,265.0,dx=208.0px
2026-06-12T17:08:35.132598,1544,move_left,355.5,274.5,dx=-24.5px
2026-06-12T17:08:36.215786,1556,move_left,294.5,266.5,dx=-61.0px
2026-06-12T17:08:37.852817,1564,move_left,243.0,254.0,dx=-51.5px
2026-06-12T17:08:58.576170,2176,smile,239.5,253.5,
2026-06-12T17:09:02.858302,2288,move_right,291.5,255.5,dx=40.5px
2026-06-12T17:09:03.648142,2292,move_left,248.0,254.5,dx=-43.5px
2026-06-12T17:09:53.526700,3780,move_right,270.0,319.0,dx=22.0px
2026-06-12T17:09:53.526841,3780,move_down,270.0,319.0,dy=64.5px
2026-06-12T17:10:02.873965,4036,move_right,331.0,320.5,dx=61.0px
2026-06-12T17:11:08.938075,5964,move_right,416.0,326.0,dx=69.5px
2026-06-12T17:11:11.501852,6004,move_left,406.0,330.0,dx=-40.0px
2026-06-12T17:11:21.457132,6056,move_left,306.0,334.0,dx=-91.5px
2026-06-12T17:11:26.252929,6092,move_left,277.5,318.5,dx=-28.5px
2026-06-12T17:11:57.513199,6888,move_right,352.0,300.5,dx=78.0px
2026-06-12T17:12:09.542181,6956,move_left,294.0,319.0,dx=-71.0px
2026-06-12T17:12:26.299811,7276,move_right,375.0,323.0,dx=107.5px
2026-06-12T17:12:28.452081,7288,move_left,345.0,334.0,dx=-25.5px
2026-06-12T17:16:19.783819,13988,move_left,193.5,311.5,dx=-123.0px
2026-06-12T17:16:19.784163,13988,move_up,193.5,311.5,dy=-23.0px
2026-06-12T17:16:32.776090,14068,blink,152.5,311.5,
