timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-27T09:54:10.217258,513,move_left,296.0,111.0,dx=-199.5px
2026-02-27T09:54:12.745494,519,move_right,368.0,112.5,dx=78.0px
2026-02-27T09:54:18.964972,603,move_left,133.5,277.0,dx=-318.0px
2026-02-27T09:54:18.965169,603,move_down,133.5,277.0,dy=192.5px
2026-02-27T09:54:19.573263,605,move_right,197.0,281.0,dx=63.5px
2026-02-27T09:54:21.266132,610,smile,277.5,281.5,
2026-02-27T09:54:22.132622,613,move_left,228.0,278.5,dx=-50.5px
2026-02-27T09:54:24.216677,620,smile,275.5,281.0,
2026-02-27T09:54:24.216890,620,move_right,275.5,281.0,dx=79.0px
2026-02-27T09:54:24.436345,620,smile,274.5,281.0,
2026-02-27T09:54:26.193192,626,move_left,227.0,278.5,dx=-51.5px
2026-02-27T09:54:27.394000,630,smile,201.5,278.0,
2026-02-27T09:54:28.282732,633,move_right,283.5,280.0,dx=82.0px
2026-02-27T09:54:30.956571,642,move_left,202.0,286.0,dx=-85.0px
2026-02-27T09:54:31.265733,643,smile,201.5,286.5,
2026-02-27T09:54:33.204079,649,move_right,283.5,288.5,dx=78.0px
2026-02-27T09:54:34.409136,653,smile,284.5,288.5,
2026-02-27T09:54:35.328803,656,move_left,218.5,286.5,dx=-66.5px
2026-02-27T09:54:37.407293,662,move_right,284.0,289.0,dx=78.5px
2026-02-27T09:54:37.710828,663,smile,291.0,289.0,
2026-02-27T09:54:39.565014,669,move_left,225.0,287.0,dx=-65.5px
2026-02-27T09:54:41.001972,673,smile,208.0,287.0,
2026-02-27T09:54:41.635643,675,move_right,283.5,288.0,dx=75.5px
2026-02-27T09:54:44.749303,687,smile,155.5,303.5,
2026-02-27T09:54:44.749499,687,move_left,155.5,303.5,dx=-138.0px
2026-02-27T09:54:47.699972,697,smile,279.0,295.0,
2026-02-27T09:54:47.700162,697,move_right,279.0,295.0,dx=88.0px
2026-02-27T09:54:49.770909,704,move_left,215.0,293.0,dx=-66.0px
2026-02-27T09:54:50.870031,707,smile,196.0,295.0,
2026-02-27T09:54:54.296077,745,move_right,253.5,287.5,dx=55.5px
2026-02-27T09:54:55.734107,749,move_left,215.5,287.5,dx=-38.0px
2026-02-27T09:54:58.897386,770,move_left,144.5,299.5,dx=-71.0px
2026-02-27T09:54:59.539132,772,smile,166.0,324.5,
2026-02-27T09:54:59.539363,772,move_right,166.0,324.5,dx=28.0px
2026-02-27T09:55:02.969059,827,move_left,79.0,76.0,dx=-87.0px
2026-02-27T09:55:02.969829,827,move_up,79.0,76.0,dy=-248.5px
2026-02-27T09:55:17.093557,860,move_right,262.5,99.0,dx=202.5px
2026-02-27T09:55:21.464494,870,move_left,184.0,89.0,dx=-78.0px
2026-02-27T09:55:24.426696,879,smile,272.0,98.5,
2026-02-27T09:55:24.426898,879,move_right,272.0,98.5,dx=74.5px
2026-02-27T09:55:27.352971,885,move_left,195.5,95.0,dx=-76.0px
2026-02-27T09:55:28.866381,890,move_right,237.5,114.5,dx=32.5px
2026-02-27T09:55:31.147123,901,move_right,265.0,117.0,dx=27.5px
2026-02-27T09:55:59.358217,1655,move_up,265.5,71.5,dy=-45.5px
2026-02-27T09:56:02.616791,1703,move_left,183.5,82.5,dx=-88.5px
2026-02-27T09:56:03.556732,1718,move_right,272.5,78.5,dx=89.0px
2026-02-27T09:56:12.164057,1826,move_right,509.0,77.0,dx=216.5px
2026-02-27T09:56:16.961164,1943,move_left,271.0,71.5,dx=-238.0px
