timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-26T21:55:06.384907,96,move_left,309.0,292.5,dx=-16.0px
2026-02-26T21:55:07.302999,101,move_left,282.0,292.5,dx=-16.0px
2026-02-26T21:55:08.724528,110,move_left,180.5,295.0,dx=-29.0px
2026-02-26T21:55:09.360608,122,move_right,233.5,289.0,dx=53.0px
2026-02-26T21:55:10.404846,128,move_right,362.0,290.0,dx=128.5px
2026-02-26T21:55:16.776307,174,move_left,234.0,288.0,dx=-21.5px
2026-02-26T21:55:17.890463,179,move_right,273.0,287.5,dx=25.5px
2026-02-26T21:55:19.681133,187,move_right,372.5,286.5,dx=15.5px
2026-02-26T21:55:21.516242,212,blink,380.0,285.5,
