timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-27T09:05:23.099670,5,blink,303.0,316.5,
2026-02-27T09:05:23.509615,6,move_left,200.0,308.0,dx=-103.0px
2026-02-27T09:05:24.848538,12,move_left,119.5,290.0,dx=-50.0px
2026-02-27T09:05:24.848999,12,move_up,119.5,290.0,dy=-16.5px
2026-02-27T09:05:25.173125,13,move_right,177.0,293.5,dx=57.5px
2026-02-27T09:05:26.476059,17,move_left,271.0,293.0,dx=-29.5px
2026-02-27T09:05:27.119908,19,move_right,309.0,263.5,dx=30.5px
2026-02-27T09:05:27.120116,19,move_up,309.0,263.5,dy=-23.0px
2026-02-27T09:05:28.079442,22,move_down,230.0,262.5,dy=21.5px
2026-02-27T09:05:28.763941,24,move_right,316.5,267.5,dx=67.0px
2026-02-27T09:05:29.728925,27,move_down,360.0,291.0,dy=18.5px
2026-02-27T09:05:30.050372,28,move_left,296.0,283.5,dx=-64.0px
2026-02-27T09:05:32.170744,34,move_right,422.5,286.5,dx=197.5px
2026-02-27T09:05:33.434009,38,move_left,327.5,292.0,dx=-176.0px
2026-02-27T09:05:35.024347,43,move_right,309.0,296.5,dx=55.5px
2026-02-27T09:05:35.991095,47,blink,472.0,296.0,
2026-02-27T09:05:35.991324,47,move_left,472.0,296.0,dx=-19.0px
2026-02-27T09:05:38.220830,54,move_right,324.0,294.0,dx=118.5px
2026-02-27T09:05:39.174088,57,move_left,363.0,296.5,dx=-55.0px
2026-02-27T09:05:39.833535,59,move_right,407.0,293.5,dx=39.0px
2026-02-27T09:05:41.075072,63,blink,496.5,284.5,
2026-02-27T09:05:41.075413,63,smile,496.5,284.5,
2026-02-27T09:05:43.198204,118,smile,504.5,290.0,
2026-02-27T09:05:44.441490,123,move_left,373.5,286.5,dx=-106.5px
2026-02-27T09:05:45.075165,125,blink,254.5,284.5,
2026-02-27T09:05:45.732483,128,move_right,338.5,283.5,dx=88.0px
2026-02-27T09:05:46.359214,130,smile,464.0,267.0,
2026-02-27T09:05:46.979870,132,move_left,328.0,283.0,dx=-134.0px
2026-02-27T09:05:47.340349,134,move_down,334.5,302.5,dy=19.5px
2026-02-27T09:05:47.649752,135,move_up,213.5,267.5,dy=-35.0px
2026-02-27T09:05:48.929836,139,move_right,290.5,287.0,dx=113.0px
2026-02-27T09:05:50.499526,144,move_left,296.5,288.0,dx=-116.0px
2026-02-27T09:05:51.617045,150,move_right,246.5,289.5,dx=67.5px
2026-02-27T09:05:53.160027,155,move_right,396.0,289.0,dx=84.5px
2026-02-27T09:05:53.377912,155,move_left,365.5,294.0,dx=-30.5px
2026-02-27T09:06:05.259151,388,move_right,201.5,287.0,dx=77.5px
2026-02-27T09:06:07.410782,394,move_left,134.0,285.0,dx=-66.0px
2026-02-27T09:06:13.579539,562,smile,174.5,249.5,
2026-02-27T09:06:13.579771,562,move_right,174.5,249.5,dx=59.0px
2026-02-27T09:06:13.579824,562,move_up,174.5,249.5,dy=-34.0px
2026-02-27T09:06:13.805426,562,smile,168.0,267.5,
2026-02-27T09:06:13.805769,562,move_down,168.0,267.5,dy=18.0px
2026-02-27T09:06:15.693127,568,move_left,137.0,259.5,dx=-35.0px
2026-02-27T09:06:17.008469,575,move_left,104.5,270.0,dx=-39.0px
2026-02-27T09:06:17.008813,575,move_down,104.5,270.0,dy=27.0px
