timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-07T08:49:56.864695,23,move_left,445.0,223.0,dx=-61.0px
2026-02-07T08:49:56.864923,23,move_up,445.0,223.0,dy=-37.0px
2026-02-07T08:49:57.526058,27,move_right,504.5,168.5,dx=59.5px
2026-02-07T08:49:59.312615,33,move_left,497.5,152.0,dx=-32.0px
2026-02-07T08:50:29.761319,127,move_left,485.0,174.5,dx=-80.5px
2026-02-07T08:50:35.365868,145,move_right,508.0,170.5,dx=32.0px
2026-02-07T08:50:37.329586,151,move_left,516.5,161.0,dx=-33.5px
2026-02-07T08:50:38.573009,155,blink,481.0,231.0,
2026-02-07T08:50:38.573271,155,move_down,481.0,231.0,dy=70.0px
2026-02-07T08:50:42.819119,169,move_right,482.0,344.5,dx=37.0px
2026-02-07T08:50:53.617137,201,move_left,462.0,209.5,dx=-39.0px
2026-02-07T08:50:53.617330,201,move_up,462.0,209.5,dy=-114.0px
2026-02-07T08:50:53.964110,203,blink,431.5,188.5,
2026-02-07T08:50:54.261958,204,move_right,517.0,202.0,dx=85.5px
