timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-27T09:13:28.981906,102,move_right,146.5,296.0,dx=23.0px
2026-02-27T09:13:30.694208,107,move_right,262.5,296.5,dx=19.0px
2026-02-27T09:13:31.086817,111,blink,188.5,319.0,
2026-02-27T09:13:31.087185,111,move_left,188.5,319.0,dx=-74.0px
2026-02-27T09:13:31.087282,111,move_down,188.5,319.0,dy=22.5px
2026-02-27T09:13:31.386800,112,move_right,285.5,306.5,dx=97.0px
2026-02-27T09:13:32.810200,116,move_left,284.0,292.0,dx=-38.5px
2026-02-27T09:13:33.432064,118,move_right,443.0,296.5,dx=159.0px
2026-02-27T09:13:37.377087,189,blink,508.0,300.5,
2026-02-27T09:13:38.861407,194,move_left,408.5,294.0,dx=-82.0px
2026-02-27T09:13:39.940457,203,blink,130.0,288.5,
2026-02-27T09:13:39.940762,203,move_left,130.0,288.5,dx=-69.5px
2026-02-27T09:13:41.451827,208,move_right,266.0,293.5,dx=112.5px
2026-02-27T09:13:42.773363,213,move_right,487.0,300.5,dx=36.0px
2026-02-27T09:13:43.076084,214,move_left,325.0,293.5,dx=-162.0px
2026-02-27T09:13:44.328329,218,move_right,500.0,299.5,dx=87.5px
2026-02-27T09:13:48.412045,279,blink,415.0,298.0,
2026-02-27T09:13:48.412942,279,move_left,415.0,298.0,dx=-74.5px
2026-02-27T09:13:49.811855,284,move_right,220.0,292.0,dx=87.0px
2026-02-27T09:13:56.500362,366,move_left,359.0,294.5,dx=-119.0px
2026-02-27T09:13:57.621480,379,move_left,136.5,290.5,dx=-31.0px
2026-02-27T09:13:58.832220,383,move_right,164.0,291.5,dx=22.5px
2026-02-27T09:14:00.034936,388,move_left,417.0,296.0,dx=-38.0px
2026-02-27T09:14:01.207970,392,blink,276.5,295.5,
2026-02-27T09:14:01.844622,394,move_right,381.5,296.0,dx=104.5px
2026-02-27T09:14:05.000784,450,move_left,493.5,300.5,dx=-16.0px
2026-02-27T09:14:06.468045,455,move_right,362.0,294.5,dx=74.5px
2026-02-27T09:14:08.886331,512,blink,509.0,300.5,
2026-02-27T09:14:08.886576,512,move_right,509.0,300.5,dx=34.5px
2026-02-27T09:14:10.407393,517,move_left,409.0,295.0,dx=-74.0px
2026-02-27T09:14:11.590200,521,move_right,297.5,296.0,dx=108.0px
2026-02-27T09:14:14.469294,585,blink,507.5,302.0,
2026-02-27T09:14:14.469543,585,move_right,507.5,302.0,dx=227.5px
2026-02-27T09:14:15.967423,590,move_left,417.5,297.5,dx=-76.0px
2026-02-27T09:14:16.855905,593,move_right,339.0,298.0,dx=107.5px
2026-02-27T09:14:20.053662,675,move_right,512.5,304.0,dx=186.5px
2026-02-27T09:14:21.543726,680,move_left,419.5,297.0,dx=-72.5px
2026-02-27T09:14:22.727976,684,move_right,269.0,297.0,dx=109.0px
2026-02-27T09:14:26.461617,772,move_right,509.0,302.5,dx=47.0px
2026-02-27T09:14:26.786131,773,blink,502.0,302.0,
2026-02-27T09:14:28.055559,777,move_left,382.0,296.5,dx=-106.0px
2026-02-27T09:14:28.274453,777,move_right,408.5,294.5,dx=26.5px
2026-02-27T09:14:32.067718,844,blink,487.5,252.0,
2026-02-27T09:14:32.067921,844,smile,487.5,252.0,
2026-02-27T09:14:32.068002,844,move_right,487.5,252.0,dx=58.5px
2026-02-27T09:14:32.068058,844,move_up,487.5,252.0,dy=-47.0px
2026-02-27T09:14:32.646290,846,move_left,456.5,266.5,dx=-31.0px
2026-02-27T09:14:33.565836,849,move_up,287.5,237.0,dy=-32.0px
2026-02-27T09:14:34.093492,850,move_right,215.5,249.5,dx=29.5px
2026-02-27T09:14:34.465314,852,move_left,179.5,263.0,dx=-36.0px
2026-02-27T09:14:36.751721,890,smile,499.0,277.5,
2026-02-27T09:14:36.752139,890,move_right,499.0,277.5,dx=106.5px
2026-02-27T09:14:38.195011,895,move_left,364.0,274.5,dx=-118.0px
2026-02-27T09:14:39.703431,900,move_right,266.5,273.5,dx=63.0px
2026-02-27T09:14:41.748779,938,smile,499.0,280.5,
2026-02-27T09:14:41.748969,938,move_right,499.0,280.5,dx=31.0px
2026-02-27T09:14:42.927023,943,move_left,434.0,270.0,dx=-56.0px
2026-02-27T09:14:47.244215,1056,smile,349.0,254.5,
2026-02-27T09:14:47.244590,1056,move_left,349.0,254.5,dx=-73.0px
2026-02-27T09:14:47.244662,1056,move_up,349.0,254.5,dy=-17.5px
2026-02-27T09:14:48.743540,1061,move_left,256.5,252.0,dx=-45.0px
2026-02-27T09:14:49.044485,1062,move_down,250.5,268.0,dy=16.0px
2026-02-27T09:14:49.367765,1064,move_right,350.5,237.0,dx=100.0px
2026-02-27T09:14:49.368310,1064,move_up,350.5,237.0,dy=-31.0px
2026-02-27T09:14:50.848854,1073,move_right,492.0,245.0,dx=155.5px
2026-02-27T09:14:51.215888,1078,move_right,510.5,257.0,dx=18.5px
