timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:14:43.178721,19316,move_left,224.0,317.0,dx=-245.0px
2026-06-12T16:14:43.179470,19316,move_up,224.0,317.0,dy=-23.0px
2026-06-12T16:14:46.336459,19400,move_right,425.5,367.0,dx=201.5px
2026-06-12T16:14:46.336925,19400,move_down,425.5,367.0,dy=50.0px
2026-06-12T16:14:47.142073,19404,move_up,435.0,340.5,dy=-26.5px
2026-06-12T16:14:51.189808,19488,move_left,376.0,381.5,dx=-64.5px
2026-06-12T16:14:51.190115,19488,move_down,376.0,381.5,dy=43.0px
2026-06-12T16:16:51.757497,23052,move_left,293.0,340.5,dx=-76.5px
2026-06-12T16:16:51.757710,23052,move_up,293.0,340.5,dy=-40.0px
2026-06-12T16:16:56.934266,23068,move_right,268.5,285.0,dx=39.0px
2026-06-12T16:16:58.276846,23072,move_up,322.5,263.5,dy=-21.5px
2026-06-12T16:17:16.017668,23604,move_right,369.0,368.0,dx=46.5px
2026-06-12T16:17:16.017844,23604,move_down,369.0,368.0,dy=104.5px
