timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-27T09:30:50.324544,126,blink,130.0,236.5,
2026-02-27T09:30:50.947126,128,move_down,122.0,274.0,dy=23.5px
2026-02-27T09:30:57.030557,149,move_right,153.0,299.5,dx=21.5px
2026-02-27T09:30:58.473146,154,move_left,236.5,301.0,dx=-22.0px
2026-02-27T09:31:05.527969,350,move_left,108.0,298.5,dx=-128.5px
2026-02-27T09:31:06.840862,362,blink,148.0,298.5,
2026-02-27T09:31:06.841160,362,move_right,148.0,298.5,dx=39.0px
2026-02-27T09:31:08.861028,369,move_left,109.5,295.0,dx=-59.5px
2026-02-27T09:31:10.936654,376,move_right,163.5,299.0,dx=54.0px
2026-02-27T09:31:12.641028,382,move_left,125.5,293.5,dx=-42.0px
2026-02-27T09:31:14.412232,391,move_right,162.5,299.0,dx=36.5px
2026-02-27T09:31:16.733319,408,move_left,104.5,297.0,dx=-56.0px
2026-02-27T09:31:18.540166,426,move_right,156.0,301.5,dx=35.5px
2026-02-27T09:31:20.281709,432,move_left,121.0,302.0,dx=-28.0px
2026-02-27T09:31:20.671498,438,blink,111.5,293.5,
2026-02-27T09:31:21.847846,458,move_right,370.0,216.5,dx=254.5px
2026-02-27T09:31:21.848072,458,move_up,370.0,216.5,dy=-75.5px
2026-02-27T09:31:23.819390,464,move_left,416.0,251.5,dx=-34.0px
