timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-27T09:20:34.772125,89,move_right,202.5,291.0,dx=52.0px
2026-02-27T09:20:36.627409,95,move_left,175.5,293.0,dx=-27.5px
2026-02-27T09:20:38.119566,100,blink,137.0,292.5,
2026-02-27T09:20:38.857511,102,move_right,199.5,294.5,dx=60.0px
2026-02-27T09:20:40.680825,108,move_left,173.0,293.5,dx=-27.0px
2026-02-27T09:20:42.532371,114,move_right,161.0,295.5,dx=25.0px
2026-02-27T09:20:44.413830,120,blink,189.5,294.5,
2026-02-27T09:20:44.710958,121,move_left,139.0,294.5,dx=-50.5px
2026-02-27T09:20:45.697344,126,move_right,274.0,248.5,dx=129.5px
2026-02-27T09:20:45.697553,126,move_up,274.0,248.5,dy=-39.5px
2026-02-27T09:20:47.630095,131,move_down,472.5,265.5,dy=30.5px
2026-02-27T09:20:47.988377,132,move_left,396.0,268.0,dx=-76.5px
2026-02-27T09:20:50.709907,157,smile,268.5,279.5,
2026-02-27T09:20:50.710691,157,move_left,268.5,279.5,dx=-94.5px
2026-02-27T09:20:59.631389,381,move_left,123.5,291.5,dx=-104.0px
2026-02-27T09:21:01.339354,386,move_right,212.0,296.5,dx=71.0px
2026-02-27T09:21:03.500901,393,move_left,218.5,293.5,dx=-58.5px
2026-02-27T09:21:05.334909,399,move_right,253.0,294.5,dx=37.0px
2026-02-27T09:21:07.226834,405,move_left,256.0,293.0,dx=-21.5px
2026-02-27T09:21:08.150251,408,blink,216.0,294.0,
2026-02-27T09:21:09.407122,412,move_right,274.5,296.0,dx=40.0px
2026-02-27T09:21:11.935813,420,move_left,244.0,292.5,dx=-35.0px
2026-02-27T09:21:14.064342,427,move_right,270.0,295.5,dx=56.0px
2026-02-27T09:21:15.908844,433,move_left,246.0,290.5,dx=-28.5px
2026-02-27T09:21:27.343695,721,move_right,164.5,301.5,dx=35.5px
2026-02-27T09:21:29.439644,728,move_left,106.5,299.5,dx=-56.0px
2026-02-27T09:21:31.518781,735,move_right,154.0,300.5,dx=47.5px
2026-02-27T09:21:33.591105,743,move_left,105.0,295.5,dx=-55.0px
2026-02-27T09:21:35.575760,750,move_right,146.5,297.0,dx=42.0px
2026-02-27T09:21:47.057052,1039,move_left,107.5,295.5,dx=-47.5px
2026-02-27T09:21:48.540448,1044,move_right,163.0,297.5,dx=25.0px
2026-02-27T09:21:50.549476,1050,move_left,200.0,296.0,dx=-54.0px
2026-02-27T09:21:52.597247,1057,move_right,237.0,296.5,dx=90.5px
2026-02-27T09:21:54.672942,1064,move_left,151.0,293.0,dx=-88.5px
2026-02-27T09:21:56.720232,1071,move_right,232.5,295.0,dx=89.5px
2026-02-27T09:21:58.563377,1077,move_left,174.0,286.5,dx=-59.5px
2026-02-27T09:22:00.372610,1084,move_right,210.0,282.0,dx=91.0px
2026-02-27T09:22:00.373029,1084,move_up,210.0,282.0,dy=-28.5px
2026-02-27T09:22:00.987237,1086,blink,186.0,297.0,
2026-02-27T09:22:02.443559,1091,move_left,107.5,294.0,dx=-71.0px
2026-02-27T09:22:05.333363,1101,move_right,149.0,292.0,dx=43.0px
2026-02-27T09:22:07.395044,1108,move_left,117.5,286.0,dx=-65.0px
2026-02-27T09:22:09.379351,1115,move_right,181.0,291.0,dx=76.0px
2026-02-27T09:22:11.461648,1123,move_left,105.5,289.0,dx=-75.0px
2026-02-27T09:22:12.479427,1139,move_right,411.0,321.0,dx=300.5px
2026-02-27T09:22:12.479700,1139,move_down,411.0,321.0,dy=32.0px
2026-02-27T09:22:34.256374,1740,move_right,558.0,101.5,dx=125.5px
2026-02-27T09:22:34.256734,1740,move_up,558.0,101.5,dy=-207.0px
2026-02-27T09:22:35.053592,1758,move_left,530.0,103.0,dx=-28.0px
2026-02-27T09:22:38.321217,1809,move_down,507.5,166.0,dy=64.5px
2026-02-27T09:22:38.969336,1813,move_left,348.5,165.0,dx=-159.0px
2026-02-27T09:22:47.384887,2034,move_left,78.0,127.5,dx=-57.5px
2026-02-27T09:22:47.385266,2034,move_up,78.0,127.5,dy=-28.5px
2026-02-27T09:22:47.754770,2038,move_right,103.0,130.5,dx=25.0px
