timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-26T22:10:55.792262,16,blink,366.0,271.0,
2026-02-26T22:11:03.514955,83,blink,434.5,275.5,
2026-02-26T22:11:03.530145,83,move_right,434.5,275.5,dx=57.0px
2026-02-26T22:11:04.978273,88,move_left,375.5,266.5,dx=-19.5px
2026-02-26T22:11:06.412677,93,move_left,340.5,269.5,dx=-25.0px
2026-02-26T22:11:12.622672,191,move_left,198.0,281.0,dx=-78.5px
2026-02-26T22:11:13.912291,196,move_right,243.5,274.5,dx=20.5px
2026-02-26T22:11:17.120003,207,move_right,377.0,280.5,dx=16.0px
2026-02-26T22:11:19.387092,243,move_right,456.0,288.0,dx=79.0px
2026-02-26T22:11:23.726317,257,move_left,444.0,283.5,dx=-23.0px
2026-02-26T22:11:42.481346,554,blink,296.5,277.0,
2026-02-26T22:11:42.481941,554,move_left,296.5,277.0,dx=-147.5px
2026-02-26T22:11:42.804873,555,move_right,315.0,276.0,dx=18.5px
2026-02-26T22:11:44.036602,562,move_down,366.0,298.0,dy=18.0px
