timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-26T21:39:31.051115,244,move_right,382.5,287.5,dx=34.5px
2026-02-26T21:39:32.186858,261,smile,375.5,271.5,
2026-02-26T21:39:33.957464,271,smile,329.5,270.0,
2026-02-26T21:39:36.129940,281,smile,239.0,272.5,
2026-02-26T21:39:38.430671,291,smile,201.0,273.0,
2026-02-26T21:39:41.069692,303,smile,128.0,281.5,
2026-02-26T21:39:42.192359,308,move_right,189.0,272.5,dx=46.0px
2026-02-26T21:39:43.375604,313,smile,371.5,273.5,
