timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T17:19:19.525530,500,move_right,420.0,333.5,dx=121.5px
2026-06-12T17:19:29.555342,556,move_left,302.5,341.0,dx=-115.0px
2026-06-12T17:19:31.526305,564,move_left,143.0,343.0,dx=-22.5px
2026-06-12T17:19:34.108993,584,move_right,427.0,333.0,dx=286.0px
2026-06-12T17:19:35.191244,592,move_left,149.0,343.5,dx=-278.0px
2026-06-12T17:19:40.915452,780,move_right,221.0,346.0,dx=72.0px
2026-06-12T17:19:41.724620,784,move_left,183.5,339.5,dx=-37.5px
