timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-27T08:57:50.034684,4480,move_left,163.0,304.0,dx=-308.0px
2026-02-27T08:57:52.301539,4486,move_left,140.5,303.0,dx=-15.5px
2026-02-27T08:57:55.084591,4494,blink,120.5,301.0,
2026-02-27T08:57:58.104580,4513,blink,139.0,292.5,
2026-02-27T08:58:03.835431,4624,blink,147.0,299.5,
2026-02-27T08:58:04.463834,4626,move_right,293.5,301.0,dx=132.5px
2026-02-27T08:58:06.701091,4676,move_right,514.0,307.0,dx=102.5px
2026-02-27T08:58:07.974361,4680,move_left,481.0,307.0,dx=-16.0px
2026-02-27T08:58:09.529064,4685,move_right,207.5,296.5,dx=40.0px
2026-02-27T08:58:12.036986,4693,move_left,450.0,306.0,dx=-41.0px
2026-02-27T08:58:12.665199,4695,move_right,374.0,303.0,dx=28.5px
2026-02-27T08:59:23.897688,6801,blink,111.5,299.5,
2026-02-27T08:59:23.898810,6801,move_left,111.5,299.5,dx=-340.0px
2026-02-27T08:59:25.168025,6807,move_right,365.0,304.0,dx=232.5px
2026-02-27T08:59:26.703103,6812,blink,418.5,296.5,
2026-02-27T08:59:27.038972,6813,move_left,369.5,298.0,dx=-49.0px
2026-02-27T08:59:29.019277,6820,move_right,470.0,300.5,dx=104.5px
2026-02-27T08:59:30.246119,6828,move_right,501.5,299.5,dx=30.0px
