timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-26T22:16:39.118241,10,blink,345.5,355.0,
2026-02-26T22:16:39.737167,12,move_right,358.0,350.5,dx=16.0px
2026-02-26T22:16:40.187190,13,move_left,340.0,348.5,dx=-18.0px
2026-02-26T22:16:41.697339,18,move_right,333.0,336.0,dx=21.0px
2026-02-26T22:16:42.416532,20,move_left,314.5,340.0,dx=-17.5px
2026-02-26T22:16:43.079897,24,blink,536.0,333.5,
2026-02-26T22:16:43.080110,24,move_right,536.0,333.5,dx=216.0px
2026-02-26T22:17:14.743071,536,move_left,260.0,336.5,dx=-276.0px
2026-02-26T22:17:15.337597,538,move_right,305.0,335.5,dx=30.0px
2026-02-26T22:17:21.732982,559,move_up,315.0,306.5,dy=-28.5px
