timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T17:27:56.006502,312,move_down,182.0,283.0,dy=25.0px
2026-06-12T17:27:56.771236,316,blink,194.5,311.5,
2026-06-12T17:27:58.288833,336,move_left,153.0,340.5,dx=-41.5px
2026-06-12T17:27:58.288973,336,move_down,153.0,340.5,dy=29.0px
2026-06-12T17:28:02.970508,468,move_right,174.5,349.5,dx=28.0px
2026-06-12T17:28:04.514525,476,move_right,267.0,355.5,dx=50.5px
2026-06-12T17:28:06.065633,484,move_right,357.5,356.0,dx=50.0px
2026-06-12T17:28:15.336261,532,move_left,199.0,350.5,dx=-228.0px
2026-06-12T17:28:18.451346,628,move_up,210.5,318.5,dy=-32.0px
2026-06-12T17:28:19.209452,632,move_right,253.0,322.5,dx=42.5px
2026-06-12T17:28:20.865101,640,move_right,345.5,326.0,dx=38.0px
2026-06-12T17:28:23.775055,652,move_left,279.0,322.5,dx=-96.0px
2026-06-12T17:28:26.233096,664,move_left,162.5,310.5,dx=-112.0px
2026-06-12T17:28:45.231502,1028,smile,222.5,239.5,
2026-06-12T17:28:45.231643,1028,move_right,222.5,239.5,dx=63.0px
2026-06-12T17:28:45.231702,1028,move_up,222.5,239.5,dy=-70.5px
2026-06-12T17:28:49.292472,1132,smile,190.5,281.5,
2026-06-12T17:28:49.292601,1132,move_left,190.5,281.5,dx=-41.5px
2026-06-12T17:28:49.292681,1132,move_down,190.5,281.5,dy=42.0px
2026-06-12T17:28:50.054880,1136,move_right,214.5,282.0,dx=24.0px
2026-06-12T17:28:52.902442,1208,smile,159.0,293.5,
2026-06-12T17:28:52.902656,1208,move_left,159.0,293.5,dx=-46.5px
2026-06-12T17:28:59.449045,1392,smile,173.5,307.5,
2026-06-12T17:29:00.234721,1396,move_right,211.5,321.5,dx=38.0px
2026-06-12T17:29:01.795467,1404,move_right,306.5,323.0,dx=64.5px
2026-06-12T17:29:03.649924,1412,move_right,393.5,319.0,dx=53.0px
2026-06-12T17:29:04.641531,1416,smile,448.5,312.5,
2026-06-12T17:29:07.595402,1428,move_left,336.0,329.5,dx=-121.5px
2026-06-12T17:29:08.585669,1432,smile,165.5,305.5,
2026-06-12T17:29:08.585830,1432,move_up,165.5,305.5,dy=-24.0px
2026-06-12T17:29:15.786521,1640,smile,157.0,310.0,
2026-06-12T17:29:22.373609,1828,move_down,165.0,331.0,dy=24.0px
2026-06-12T17:29:23.145516,1832,move_right,216.0,331.5,dx=51.0px
2026-06-12T17:29:25.437533,1844,move_right,275.5,321.5,dx=35.0px
2026-06-12T17:29:27.297812,1852,smile,392.5,317.5,
2026-06-12T17:29:27.297992,1852,move_right,392.5,317.5,dx=47.5px
