timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T18:21:22.403577,248,move_right,400.0,296.0,dx=46.0px
2026-06-12T18:21:28.630608,280,move_left,244.0,285.0,dx=-184.5px
2026-06-12T18:21:32.006557,320,move_left,177.0,282.5,dx=-51.0px
2026-06-12T18:21:39.749576,536,move_right,276.5,289.5,dx=99.5px
2026-06-12T18:21:41.134571,576,move_left,225.0,281.5,dx=-51.5px
2026-06-12T18:21:41.606914,580,move_right,246.0,285.5,dx=21.0px
2026-06-12T18:21:42.812418,588,move_left,211.0,282.5,dx=-30.0px
2026-06-12T18:21:49.807282,800,move_right,338.0,296.0,dx=151.5px
2026-06-12T18:21:51.336884,816,move_right,363.0,297.0,dx=25.0px
2026-06-12T18:21:52.113589,820,move_left,308.0,297.0,dx=-55.0px
