timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-26T22:09:15.652327,13,move_left,329.0,360.5,dx=-23.0px
2026-02-26T22:09:17.159243,19,move_up,306.0,282.5,dy=-55.5px
2026-02-26T22:09:19.860618,28,move_left,279.5,279.0,dx=-22.0px
2026-02-26T22:09:20.878951,31,smile,222.0,278.5,
2026-02-26T22:09:22.948280,38,move_left,135.0,283.5,dx=-18.0px
2026-02-26T22:09:56.720391,574,move_right,389.0,270.0,dx=284.5px
2026-02-26T22:09:56.721078,574,move_up,389.0,270.0,dy=-19.0px
2026-02-26T22:09:57.346577,576,smile,370.0,263.0,
2026-02-26T22:10:00.459223,586,smile,389.0,263.5,
