timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-26T22:44:25.357758,27,move_left,167.0,351.5,dx=-177.0px
2026-02-26T22:44:29.086334,87,move_right,202.0,349.0,dx=35.0px
2026-02-26T22:44:29.385351,92,move_right,242.0,347.0,dx=40.0px
2026-02-26T22:44:29.685426,97,move_right,306.0,337.0,dx=64.0px
2026-02-26T22:44:34.090438,124,move_right,411.5,340.5,dx=20.5px
2026-02-26T22:44:35.970256,154,move_right,484.5,349.5,dx=44.0px
2026-02-26T22:44:36.984680,160,move_left,429.0,336.5,dx=-18.5px
2026-02-26T22:44:38.908228,171,blink,429.5,339.0,
2026-02-26T22:45:01.484083,547,move_left,330.5,343.5,dx=-99.0px
